__	1	2	3	____	_____	___	____	brand	type	8	9	10	11		
S90	___	T4	___	"284,867.68_"	"379,800_"	_3.25_	_12.74_	_____	S90						
S90	___	T5	___	"308,119.12_"	"410,800_"	_3.51_	_13.78_	_____	S90						
S90	___	T5	___	"336,582.88_"	"448,800_"	_3.84_	_15.06_	_____	S90						
S90	___	T5	___	"372,615.06_"	"496,800_"	_4.25_	_16.66_	_____	S90						
S90	___	T5	___	"413,846.89_"	"551,800_"	_4.72_	_18.51_	_____	S90						
XC60	T4	___	"295,917.61_"	"369,900_"	_3.16_	_10.56_		_____	XC60						
XC60	T5	_____	"319,917.41_"	"399,900_"	_3.42_	_11.42_		_____	XC60						
XC60	T5	_____	"343,917.21_"	"429,900_"	_3.67_	_12.27_		_____	XC60						
XC60	T5	_______	"343,917.21_"	"429,900_"	_3.67_	_12.27_		_____	XC60						
XC60	T5	_______	"383,923.17_"	"479,900_"	_4.10_	_13.70_		_____	XC60						
XC60	T5	_______	"383,923.17_"	"479,900_"	_4.10_	_13.70_		_____	XC60						
S60L	T3	___	"182,746.37_"	"276,900_"	2.37_	11.78_		_____	S60L						
S60L	T5	___	"198,323.03_"	"309,900_"	2.65_	13.81_		_____	S60L						
S60L	T5	___	"218,161.44_"	"340,900_"	2.91_	15.19_		_____	S60L						
2018_	TFSI	___(1.8T)	"317,808.68_"	"402,800_"	3.44_	_11.94_		____	__A6L						
2018_	TFSI	___(1.8T)+___	"325,699.00_"	"412,800_"	3.53_	_12.24_		____	__A6L						
2018_	35TFSI	___(2.0T)	"334,240.08_"	"417,800_"	3.57_	_11.93_		____	__A6L						
2018_	35TFSI	___(2.0T)	#NAME?	"342,240.60_"	"427,800_"	3.66_	_12.21_	____	__A6L						
2018_	35TFSI	___(2.0T)	__(____)+____	"356,000.52_"	"445,000_"	3.80_	_12.70_	____	__A6L						
2018_	35TFSI	___(2.0T)	____+____	"358,399.40_"	"448,000_"	3.83_	_12.79_	____	__A6L						
2018_	35TFSI	___+____+____	"359,278.68_"	"449,100_"	3.84_	_12.82_		____	__A6L						
2018_	30FSI	___(2.5V6)	"365,938.24_"	"463,800_"	3.96_	_13.75_		____	__A6L						
2018_	30FSI	___(2.5V6)	#NAME?	"369,172.48_"	"467,900_"	4.00_	_13.87_	____	__A6L						
2018_	45TFSI	quattro___(3.0T)	"394,641.28_"	"506,600_"	4.33_	_15.53_		____	__A6L						
2018_	45TFSI	quattro___(3.0T)	________	"396,977.52_"	"509,600_"	4.36_	_15.62_	____	__A6L						
2018_	45TFSI	quattro___(3.0T)+_____3.0T_	"397,835.92_"	"510,700_"	4.36_	_15.65_		____	__A6L						
2018_	45TFSI	quattro___(3.0T)	"456,962.28_"	"586,600_"	5.01_	_17.98_		____	__A6L						
2018_	50TFSI	quattro___(3.0T)	"541,249.04_"	"694,800_"	5.94_			____	__A6L						
_21.29_								____	__A6L						
2018_	40	e-tron	PHEV	(___)	"375,210.12_"	"454,800_"	3.89_	____	__A6L	_11.85_					
2018_	A4L	30TFSI	____1.4T_	"227,650.00_"	29.00_	_2.48_	_8.71_	____	__A4L						
2018_	A4L	40TFSI___	_2.0T_	"240,994.64_"	30.70_	_2.62_	_9.22_	____	__A4L						
2018_	A4L	40TFSI____2.0T_	"269,176.84_"	34.29_	_2.93_	_10.30_		____	__A4L						
2018_	A4L	40TFSI___+____2.0T_	"271,373.88_"	34.57_	_2.95_	_10.39_		____	__A4L						
2018_	A4L	40TFSI___	_2.0T_	"288,094.12_"	36.70_	_3.14_	_11.03_	____	__A4L						
2018_	A4L	40TFSI___	+____2.0T_	"290,293.48_"	36.98_	_3.16_	_11.11_	____	__A4L						
2018_	A4L	45TFSI	quattro_____	"288,094.12_"	36.70_	_3.14_	_11.03_	____	__A4L						
2018_	A4L	45TFSI	quattro_____+___	___	"290,293.48_"	36.98_	_3.16_	____	__A4L	_11.11_					
2018_	A4L	45TFSI	quattro___	_2.0T__	"319,495.32_"	40.70_	_3.48_	____	__A4L	_12.23_					
2018_	A4L	45TFSI	quattro___	+____2.0T__	"321,692.36_"	40.98_	_3.50_	____	__A4L	_12.31_					
40TFSI	quattro	______	____	____	"303,246.04_"	"396,400_"	_3.39_	____	__Q5	12.70_					
40TFSI	quattro	______	____	"324,130.68_"	"423,700_"	_3.62_	13.58_	____	__Q5						
2018_	Q3	30TFSI	_____	"187,891_"	"246,900_"	_2.11_	_8.01_	____	__Q3						
2018_	Q3	30TFSI	_____	"202,121.88_"	"265,600_"	_2.27_	_8.62_	____	__Q3						
